feature,accuracy,precision,recall
ATTACK,0.701894116859648,0.7402695363572362,0.7972811958405546
MOVE,0.6500266324100764,0.6209451957676204,0.7396195149931487
CAST,0.6022727272727273,0.6478555304740407,0.6434977578475336
ATTACK,0.6962695318690374,0.7530262974815639,0.7922318727432419
MOVE,0.6535862785862786,0.6760768458700293,0.7078159456539435
CAST,0.6103238866396761,0.627177700348432,0.6779661016949152
ATTACK,0.6654584859128615,0.7227968556061233,0.7415110356536503
MOVE,0.6608591568027663,0.7020326111235202,0.6517182227751701
CAST,0.6109625668449198,0.6327077747989276,0.6051282051282051
ATTACK,0.7177568104426788,0.8020569620253165,0.7834217711606821
MOVE,0.6632582182376222,0.6440488615149421,0.7148520990031163
CAST,0.6256684491978609,0.7083333333333334,0.6181818181818182
ATTACK,0.6764793783622236,0.7172884918549658,0.7629013227348941
MOVE,0.6769581345143963,0.6662314147428532,0.6736554880732329
CAST,0.6376811594202898,0.675,0.6059850374064838
