numSplits,split,accuracy,precision,recall,model
1,1,0.8689003870159956,0.9991560287444603,0.7407407407407407,Logistic Regression
1,1,0.9395391004438494,0.9714069047831003,0.9074074074074074,Random Forest
1,1,0.8741799891237398,0.9804275144554104,0.765993265993266,Multi-layer Perceptron
2,1,0.8339137371205029,0.974694108528816,0.6872053872053872,Logistic Regression
2,2,0.8390310608104112,0.9543775034526236,0.7158249158249157,Logistic Regression
2,1,0.9011730205278592,0.977081482511608,0.8245791245791245,Random Forest
2,2,0.9262967488059914,0.9523611376899653,0.9003367003367003,Random Forest
2,1,0.7527172619519857,0.8515547059616878,0.7457912457912459,Multi-layer Perceptron
2,2,0.8950592352286971,0.952470516459627,0.8340067340067339,Multi-layer Perceptron
3,1,0.8524264590272239,0.9814703171546603,0.7205387205387206,Logistic Regression
3,2,0.800291668409657,0.9254607653547631,0.6555555555555556,Logistic Regression
3,3,0.8593957761452169,0.9698640916501644,0.7454545454545454,Logistic Regression
3,1,0.8967476520116033,0.9468207896371291,0.8468013468013469,Random Forest
3,2,0.9030361210120981,0.9304688940580986,0.8774410774410775,Random Forest
3,3,0.9171113576140313,0.9456710537568046,0.8868686868686868,Random Forest
3,1,0.6733074361019715,0.7513852432897046,0.7791245791245791,Multi-layer Perceptron
3,2,0.7605700949004187,0.8622971694775231,0.7548821548821548,Multi-layer Perceptron
3,3,0.78367666638298,0.8440873019185784,0.8168350168350168,Multi-layer Perceptron
