accuracy,precision,recall,model,features,cv
0.9326096788783356,1.0,0.8,Random Forest,mouse,2
0.9774410774410774,0.9666666666666667,0.9333333333333332,Random Forest,mouse,3
0.9850713012477719,1.0,0.9330357142857143,Random Forest,mouse,4
0.9626780626780626,0.9714285714285715,0.8666666666666666,Random Forest,mouse,5
0.962779973649539,1.0,0.8333333333333334,Random Forest,mouse,6
0.9928571428571429,1.0,0.9714285714285714,Random Forest,mouse,7
0.9622549019607842,1.0,0.8333333333333333,Random Forest,mouse,8
0.9554232804232805,0.9500000000000001,0.8611111111111112,Random Forest,mouse,9
0.9774725274725276,1.0,0.8999999999999998,Random Forest,mouse,10
