accuracy,precision,recall,model,features
0.8589473684210525,0.8651515151515152,0.9090909090909092,Logistic Regression,mouse
0.9594736842105263,0.9692307692307693,0.9636363636363636,Logistic Regression,stats
0.8984210526315788,0.888961038961039,0.9454545454545455,Logistic Regression,items-hashed
0.9194736842105262,0.9023310023310023,0.9636363636363636,Logistic Regression,items-onehot
0.8989473684210527,0.8702797202797203,0.9636363636363636,Logistic Regression,items-starting
0.8594736842105263,0.8911111111111112,0.8545454545454547,Logistic Regression,items-select
0.9594736842105263,0.9692307692307693,0.9636363636363636,Logistic Regression,mouse-stats
0.9594736842105263,0.9692307692307693,0.9636363636363636,Logistic Regression,mouse-stats
0.9189473684210526,0.9192307692307692,0.9454545454545455,Logistic Regression,mouse-items-hashed
0.888421052631579,0.898809523809524,0.909090909090909,Logistic Regression,mouse-items-onehot
0.9184210526315789,0.9056277056277056,0.9636363636363636,Logistic Regression,mouse-items-start
0.9089473684210526,0.9121212121212121,0.9272727272727274,Logistic Regression,mouse-items-select
0.9694736842105265,1.0,0.9454545454545455,Logistic Regression,stats-items-hashed
0.9694736842105265,0.9833333333333332,0.9636363636363636,Logistic Regression,stats-items-onehot
0.9594736842105263,0.9692307692307693,0.9636363636363636,Logistic Regression,stats-items-start
0.9594736842105263,0.9692307692307693,0.9636363636363636,Logistic Regression,stats-items_select
0.9494736842105264,0.9525641025641025,0.9636363636363636,Logistic Regression,mouse-stats-items-hashed
0.7257894736842105,0.7191228070175438,1.0,Logistic Regression,mouse-stats-items-onehot
0.9594736842105263,0.9692307692307693,0.9636363636363636,Logistic Regression,mouse-stats-items-start
0.9594736842105263,0.9692307692307693,0.9636363636363636,Logistic Regression,mouse-stats-items-select
0.5147368421052632,0.6,0.12727272727272726,Random Forest,mouse
1.0,1.0,1.0,Random Forest,stats
0.9294736842105265,0.9205128205128205,0.9636363636363636,Random Forest,items-hashed
0.9494736842105264,0.9466666666666667,0.9636363636363636,Random Forest,items-onehot
0.8994736842105263,0.8810489510489511,0.9636363636363636,Random Forest,items-starting
0.8389473684210526,0.8742307692307693,0.8363636363636363,Random Forest,items-select
0.6468421052631579,0.612624699002408,1.0,Random Forest,mouse-stats
0.5663157894736843,0.5622222222222223,1.0,Random Forest,mouse-items-hashed
0.6057894736842105,0.5874234606123151,1.0,Random Forest,mouse-items-onehot
0.6763157894736842,0.6638011695906434,1.0,Random Forest,mouse-items-start
0.868421052631579,0.8823310023310024,0.8909090909090909,Random Forest,mouse-items-select
0.9694736842105265,1.0,0.9454545454545455,Random Forest,stats-items-hashed
0.99,1.0,0.9818181818181818,Random Forest,stats-items-onehot
1.0,1.0,1.0,Random Forest,stats-items-start
0.9800000000000001,0.9833333333333332,0.9818181818181818,Random Forest,stats-items_select
0.7784210526315789,0.82,0.9272727272727274,Random Forest,mouse-stats-items-hashed
0.6094736842105263,0.53,0.7818181818181819,Random Forest,mouse-stats-items-onehot
0.5963157894736841,0.5795906432748539,1.0,Random Forest,mouse-stats-items-start
0.5963157894736841,0.580233918128655,1.0,Random Forest,mouse-stats-items-select
0.8778947368421053,0.8531468531468531,0.9454545454545455,Multi-layer Perceptron,mouse
0.6057894736842105,0.5924561403508772,1.0,Multi-layer Perceptron,stats
0.7868421052631579,0.8301698301698301,0.8,Multi-layer Perceptron,items-hashed
0.9194736842105264,0.9205128205128205,0.9454545454545455,Multi-layer Perceptron,items-onehot
0.8989473684210527,0.8810489510489511,0.9636363636363636,Multi-layer Perceptron,items-starting
0.8794736842105264,0.8967754467754467,0.890909090909091,Multi-layer Perceptron,items-select
0.8268421052631579,0.846053946053946,0.8545454545454547,Multi-layer Perceptron,mouse-stats
0.9094736842105264,0.9205128205128205,0.9272727272727274,Multi-layer Perceptron,mouse-items-hashed
0.9389473684210525,0.9343822843822844,0.9636363636363636,Multi-layer Perceptron,mouse-items-onehot
0.8889473684210527,0.8561771561771561,0.9636363636363636,Multi-layer Perceptron,mouse-items-start
0.868421052631579,0.8325641025641024,0.9636363636363636,Multi-layer Perceptron,mouse-items-select
0.8173684210526316,0.9361111111111111,0.7272727272727273,Multi-layer Perceptron,stats-items-hashed
0.9394736842105263,1.0,0.8909090909090909,Multi-layer Perceptron,stats-items-onehot
0.9089473684210526,0.8884615384615385,0.9636363636363636,Multi-layer Perceptron,stats-items-start
0.8689473684210526,0.8826728826728827,0.890909090909091,Multi-layer Perceptron,stats-items_select
0.8363157894736842,0.8885714285714286,0.8363636363636363,Multi-layer Perceptron,mouse-stats-items-hashed
0.9389473684210525,0.9692307692307691,0.9272727272727274,Multi-layer Perceptron,mouse-stats-items-onehot
0.9289473684210525,0.9177156177156176,0.9636363636363636,Multi-layer Perceptron,mouse-stats-items-start
0.9384210526315788,0.9318181818181819,0.9636363636363636,Multi-layer Perceptron,mouse-stats-items-select
