numSplits,split,accuracy,precision,recall,model,features
1,1,0.8717108454484135,0.998281528264821,0.7464646464646464,Logistic Regression,mouse
1,1,0.987798906413697,0.9866509736156122,0.9895622895622896,Logistic Regression,stats
1,1,0.9220482498313695,0.9537266915145306,0.8922558922558922,Logistic Regression,items-hashed
1,1,0.9530588843123466,0.9474490484060679,0.9619528619528619,Logistic Regression,items-onehot
1,1,0.9539047632715739,0.9476482514215643,0.962962962962963,Logistic Regression,items-starting
1,1,0.8410410597167008,0.8223517880368865,0.8777777777777779,Logistic Regression,items-select
1,1,0.956279797356449,0.9373161786218818,0.9797979797979798,Logistic Regression,mouse-stats
1,1,0.9464557470687008,0.9400908783481121,0.958922558922559,Logistic Regression,mouse-items-hashed
1,1,0.9603448671766243,0.9422181926451676,0.9818181818181818,Logistic Regression,mouse-items-onehot
1,1,0.9433994460310855,0.9270838538514784,0.9643097643097643,Logistic Regression,mouse-items-start
1,1,0.9366197850141363,0.918083418051457,0.9606060606060607,Logistic Regression,mouse-items-select
1,1,0.9606781096169577,0.9989216585475782,0.922895622895623,Logistic Regression,stats-items-hashed
1,1,0.9842372881355932,0.9972927241962776,0.9713804713804715,Logistic Regression,stats-items-onehot
1,1,0.9806779661016949,0.9962743885263944,0.9653198653198652,Logistic Regression,stats-items-start
1,1,0.9884767290001291,0.9872823276742654,0.9902356902356904,Logistic Regression,stats-items_select
1,1,0.9662711864406779,0.9741727959203688,0.9609427609427609,Logistic Regression,mouse-stats-items-hashed
1,1,0.9496613039796781,0.9634274908851743,0.9437710437710438,Logistic Regression,mouse-stats-items-onehot
1,1,0.9808519066002669,0.9815659530752544,0.9808080808080808,Logistic Regression,mouse-stats-items-start
1,1,0.9676357295598388,0.9424001498242474,0.9973063973063973,Logistic Regression,mouse-stats-items-select
1,1,0.9169544626070983,0.975579691312338,0.8555555555555555,Random Forest,mouse
1,1,0.9993220338983051,1.0,0.9986531986531986,Random Forest,stats
1,1,0.9371222319493677,0.97839710103221,0.8976430976430976,Random Forest,items-hashed
1,1,0.9135652061596751,0.9456524855277447,0.8804713804713804,Random Forest,items-onehot
1,1,0.9432275147461933,0.9464735851711008,0.9407407407407409,Random Forest,items-starting
1,1,0.8139287303204696,0.8158637804130485,0.8262626262626263,Random Forest,items-select
1,1,0.9457832345469941,0.9209262753391106,0.9838383838383837,Random Forest,mouse-stats
1,1,0.9135799882317484,0.8902238077050528,0.9521885521885523,Random Forest,mouse-items-hashed
1,1,0.8959553093471492,0.8453855788990048,0.973063973063973,Random Forest,mouse-items-onehot
1,1,0.9320514071671523,0.8965001642388156,0.9818181818181818,Random Forest,mouse-items-start
1,1,0.9196816831470027,0.8977873818881019,0.9552188552188552,Random Forest,mouse-items-select
1,1,0.9652542372881356,1.0,0.930976430976431,Random Forest,stats-items-hashed
1,1,0.9423740294780352,1.0,0.8855218855218855,Random Forest,stats-items-onehot
1,1,0.9593220338983051,1.0,0.9191919191919192,Random Forest,stats-items-start
1,1,0.9988135593220339,1.0,0.9976430976430976,Random Forest,stats-items_select
1,1,0.9145894745906228,0.9647862341739891,0.8693602693602693,Random Forest,mouse-stats-items-hashed
1,1,0.9081519539603036,0.9379444548098872,0.8838383838383839,Random Forest,mouse-stats-items-onehot
1,1,0.9717076881126309,0.9493322560525872,1.0,Random Forest,mouse-stats-items-start
1,1,0.9417119935705163,0.8981714562184401,1.0,Random Forest,mouse-stats-items-select
1,1,0.8800245411099471,0.9755632673863929,0.7824915824915826,Multi-layer Perceptron,mouse
1,1,0.56953945952152,0.36640509501322016,0.4878787878787879,Multi-layer Perceptron,stats
1,1,0.9115404928314126,0.9745062671813234,0.8491582491582491,Multi-layer Perceptron,items-hashed
1,1,0.9438985921152714,0.9728695161557042,0.9161616161616163,Multi-layer Perceptron,items-onehot
1,1,0.9610173796983311,0.9724346166313831,0.9505050505050505,Multi-layer Perceptron,items-starting
1,1,0.8076589790324201,0.8061139046017122,0.8225589225589225,Multi-layer Perceptron,items-select
1,1,0.9232299545056616,0.9489496661391051,0.898989898989899,Multi-layer Perceptron,mouse-stats
1,1,0.9566189239225592,0.9587027965427456,0.9565656565656566,Multi-layer Perceptron,mouse-items-hashed
1,1,0.9627170309562422,0.9689747160810661,0.9569023569023569,Multi-layer Perceptron,mouse-items-onehot
1,1,0.9559425364887556,0.9666092456199223,0.9478114478114478,Multi-layer Perceptron,mouse-items-start
1,1,0.9413684180312576,0.9540625909449117,0.9326599326599327,Multi-layer Perceptron,mouse-items-select
1,1,0.8351115831168645,0.9870729925397859,0.6814814814814815,Multi-layer Perceptron,stats-items-hashed
1,1,0.8808488927797471,0.9929515418502202,0.7686868686868688,Multi-layer Perceptron,stats-items-onehot
1,1,0.9635596090644241,0.9765840553278757,0.9515151515151515,Multi-layer Perceptron,stats-items-start
1,1,0.808845563225649,0.8072763132746641,0.8195286195286198,Multi-layer Perceptron,stats-items_select
1,1,0.8876375952582556,0.9871695497073807,0.7878787878787878,Multi-layer Perceptron,mouse-stats-items-hashed
1,1,0.9396644613154608,0.980256585568862,0.8996632996632996,Multi-layer Perceptron,mouse-stats-items-onehot
1,1,0.935943971641384,0.9489456340704747,0.9265993265993266,Multi-layer Perceptron,mouse-stats-items-start
1,1,0.8720549950487234,0.9528173103038308,0.7912457912457913,Multi-layer Perceptron,mouse-stats-items-select
